Name: شارع الشهيدة فريدة داوود, Instruction: Head south on شارع الشهيدة فريدة داوود, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع محمود مختار, Instruction: Turn right onto شارع محمود مختار, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Keep left, Distance: 183.6 meters, Time: 132.2 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Continue straight onto شارع دكتور صلاح عبد الكريم, Distance: 112.2 meters, Time: 80.7 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Enter the roundabout and take the 1st exit onto شارع دكتور صلاح عبد الكريم, Distance: 58.1 meters, Time: 41.8 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Continue straight onto شارع دكتور صلاح عبد الكريم, Distance: 128.4 meters, Time: 92.5 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Continue straight onto شارع دكتور صلاح عبد الكريم, Distance: 159.5 meters, Time: 114.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 287.6 meters, Time: 207.1 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Keep right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Keep right, Distance: 146.8 meters, Time: 105.7 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
