Name: Yusuf Gool Boulevard, Instruction: Head north on Yusuf Gool Boulevard, Distance: 66.6 meters, Time: 48.0 seconds
Name: Klipfontein Service Road, Instruction: Turn left onto Klipfontein Service Road, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 248.5 meters, Time: 178.9 seconds
Name: Petunia Road, Instruction: Turn right onto Petunia Road, Distance: 180.9 meters, Time: 130.2 seconds
Name: Linaria Crescent, Instruction: Turn left onto Linaria Crescent, Distance: 73.2 meters, Time: 52.7 seconds
Name: Linaria Crescent, Instruction: Turn right onto Linaria Crescent, Distance: 207.1 meters, Time: 149.1 seconds
Name: Olympic Crescent, Instruction: Turn right onto Olympic Crescent, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Arrive at Olympic Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
