Name: MacKenzie Road, Instruction: Head northwest on MacKenzie Road, Distance: 320.4 meters, Time: 230.7 seconds
Name: -, Instruction: Continue straight, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 419.3 meters, Time: 301.9 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 344.7 meters, Time: 248.2 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 269.7 meters, Time: 194.2 seconds
Name: -, Instruction: Turn slight right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Kampong Java Road, Instruction: Turn left onto Kampong Java Road, Distance: 2.2 meters, Time: 1.6 seconds
Name: Keng Lee Road, Instruction: Enter the roundabout and take the 1st exit onto Keng Lee Road, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn slight right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Gilstead Road, Instruction: Turn right onto Gilstead Road, Distance: 39.2 meters, Time: 28.2 seconds
Name: Gilstead Road, Instruction: Keep left onto Gilstead Road, Distance: 114.9 meters, Time: 82.7 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
