Name: Rue de Miromesnil, Instruction: Head south on Rue de Miromesnil, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rue de Monceau, Instruction: Turn right onto Rue de Monceau, Distance: 426.9 meters, Time: 307.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: Avenue Ruysdaël, Instruction: Turn left onto Avenue Ruysdaël, Distance: 8.1 meters, Time: 5.8 seconds
Name: Rue de Monceau, Instruction: Turn slight right onto Rue de Monceau, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue de Monceau, Instruction: Turn slight right onto Rue de Monceau, Distance: 193.7 meters, Time: 139.4 seconds
Name: -, Instruction: Keep left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn slight left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Keep left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn slight left, Distance: 433.4 meters, Time: 312.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Rue de Chaillot, Instruction: Turn right onto Rue de Chaillot, Distance: 205.9 meters, Time: 148.2 seconds
Name: Avenue Pierre-Iᵉʳ-de-Serbie, Instruction: Turn slight right onto Avenue Pierre-Iᵉʳ-de-Serbie, Distance: 131.1 meters, Time: 94.4 seconds
Name: -, Instruction: Arrive at Avenue Pierre-Iᵉʳ-de-Serbie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
