Name: Long Street, Instruction: Head north on Long Street, Distance: 230.4 meters, Time: 165.9 seconds
Name: -, Instruction: Turn left, Distance: 98.0 meters, Time: 70.5 seconds
Name: Prospect Creek Cycle Path, Instruction: Turn sharp left onto Prospect Creek Cycle Path, Distance: 1166.6 meters, Time: 840.0 seconds
Name: Prospect Creek Cycle Path, Instruction: Keep right onto Prospect Creek Cycle Path, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Keep right, Distance: 252.6 meters, Time: 181.8 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 278.4 meters, Time: 200.5 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
