Name: Tapestry Lane, Instruction: Head west on Tapestry Lane, Distance: 27.9 meters, Time: 20.1 seconds
Name: Replin Road, Instruction: Turn right onto Replin Road, Distance: 80.4 meters, Time: 57.9 seconds
Name: Old Meadow Lane, Instruction: Turn left onto Old Meadow Lane, Distance: 9.0 meters, Time: 6.5 seconds
Name: Replin Road, Instruction: Turn right onto Replin Road, Distance: 84.7 meters, Time: 61.0 seconds
Name: Flemington Road, Instruction: Turn left onto Flemington Road, Distance: 91.2 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Keep left, Distance: 220.6 meters, Time: 158.9 seconds
Name: New Heights Court, Instruction: Turn right onto New Heights Court, Distance: 25.7 meters, Time: 18.5 seconds
Name: Varna Drive, Instruction: Turn left onto Varna Drive, Distance: 236.5 meters, Time: 170.3 seconds
Name: -, Instruction: Keep left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Keep left, Distance: 237.1 meters, Time: 170.7 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
