Name: Rua Antunes Maciel, Instruction: Head west on Rua Antunes Maciel, Distance: 170.2 meters, Time: 122.6 seconds
Name: Rua São Cristóvão, Instruction: Turn left onto Rua São Cristóvão, Distance: 86.3 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight right onto Rua Francisco Eugênio, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 228.9 meters, Time: 164.8 seconds
Name: Rua Francisco Eugênio, Instruction: Turn slight left onto Rua Francisco Eugênio, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 95.0 meters, Time: 68.4 seconds
Name: -, Instruction: Continue straight, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 235.0 meters, Time: 169.2 seconds
Name: -, Instruction: Keep right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Avenida Maracanã, Instruction: Turn right onto Avenida Maracanã, Distance: 243.9 meters, Time: 175.6 seconds
Name: Avenida Paula Sousa, Instruction: Keep left onto Avenida Paula Sousa, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 274.5 meters, Time: 197.6 seconds
Name: Rua Luis Gama, Instruction: Turn left onto Rua Luis Gama, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 175.8 meters, Time: 126.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rua São Francisco Xavier, Instruction: Turn left onto Rua São Francisco Xavier, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 141.3 meters, Time: 101.7 seconds
Name: -, Instruction: Keep right, Distance: 121.6 meters, Time: 87.5 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
