Name: Dowling Avenue, Instruction: Head north on Dowling Avenue, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 441.1 meters, Time: 317.6 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Keep left, Distance: 271.8 meters, Time: 195.7 seconds
Name: -, Instruction: Keep left, Distance: 229.3 meters, Time: 165.1 seconds
Name: -, Instruction: Keep right, Distance: 491.8 meters, Time: 354.1 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 359.3 meters, Time: 258.7 seconds
Name: -, Instruction: Turn slight left, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Turn slight right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
