Name: Rua Projetada B, Instruction: Head south on Rua Projetada B, Distance: 91.7 meters, Time: 66.1 seconds
Name: Rua Aratimbo, Instruction: Turn sharp left onto Rua Aratimbo, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 48.1 meters, Time: 34.6 seconds
Name: Rua Projetada, Instruction: Turn left onto Rua Projetada, Distance: 55.4 meters, Time: 39.9 seconds
Name: Rua Sargento José Valoura, Instruction: Turn right onto Rua Sargento José Valoura, Distance: 207.2 meters, Time: 149.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Estrada da Paciência, Instruction: Turn right onto Estrada da Paciência, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: Estrada da Paciência, Instruction: Turn right onto Estrada da Paciência, Distance: 73.5 meters, Time: 52.9 seconds
Name: Rua Ararangua, Instruction: Turn left onto Rua Ararangua, Distance: 451.2 meters, Time: 324.9 seconds
Name: Rua Curare, Instruction: Turn right onto Rua Curare, Distance: 74.3 meters, Time: 53.5 seconds
Name: Rua Arariba, Instruction: Turn left onto Rua Arariba, Distance: 558.6 meters, Time: 402.2 seconds
Name: -, Instruction: Turn right, Distance: 59.2 meters, Time: 42.6 seconds
Name: Rua Guarujá, Instruction: Turn right onto Rua Guarujá, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
