Name: Addiscombe Road, Instruction: Head northwest on Addiscombe Road, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 119.0 meters, Time: 85.6 seconds
Name: Ruskin Square, Instruction: Continue straight onto Ruskin Square, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Continue straight, Distance: 35.6 meters, Time: 25.7 seconds
Name: Ruskin Square, Instruction: Keep left onto Ruskin Square, Distance: 42.2 meters, Time: 30.4 seconds
Name: Caithness Walk, Instruction: Turn left onto Caithness Walk, Distance: 78.4 meters, Time: 56.4 seconds
Name: Dingwall Road, Instruction: Turn right onto Dingwall Road, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: Dingwall Road, Instruction: Turn left onto Dingwall Road, Distance: 889.5 meters, Time: 640.4 seconds
Name: Bird In Hand Path, Instruction: Turn left onto Bird In Hand Path, Distance: 118.4 meters, Time: 85.2 seconds
Name: Johnson Road, Instruction: Turn right onto Johnson Road, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Arrive at Johnson Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
