Name: Parker's Row, Instruction: Head south on Parker's Row, Distance: 42.1 meters, Time: 30.3 seconds
Name: Dockhead, Instruction: Turn right onto Dockhead, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 591.3 meters, Time: 425.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: Tower Bridge Road, Instruction: Turn right onto Tower Bridge Road, Distance: 700.8 meters, Time: 504.6 seconds
Name: -, Instruction: Keep left, Distance: 80.3 meters, Time: 57.8 seconds
Name: Tower Hill, Instruction: Continue straight onto Tower Hill, Distance: 14.4 meters, Time: 10.4 seconds
Name: Tower Hill, Instruction: Continue straight onto Tower Hill, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: Tower Hill, Instruction: Turn left onto Tower Hill, Distance: 118.0 meters, Time: 85.0 seconds
Name: Trinity Square, Instruction: Turn sharp left onto Trinity Square, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Arrive at Trinity Square, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
