Name: Megalong Street, Instruction: Head west on Megalong Street, Distance: 534.9 meters, Time: 385.1 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 108.2 meters, Time: 77.9 seconds
Name: Lovel Street, Instruction: Turn right onto Lovel Street, Distance: 2.5 meters, Time: 1.8 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 238.1 meters, Time: 171.4 seconds
Name: -, Instruction: Keep right, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Keep left, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn right, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: College Lane, Instruction: Continue straight onto College Lane, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
