Name: Maiden Street, Instruction: Head northwest on Maiden Street, Distance: 614.3 meters, Time: 442.3 seconds
Name: Russell Street, Instruction: Enter the roundabout and take the 1st exit onto Russell Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn right, Distance: 252.5 meters, Time: 181.8 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: Ron Scott Circuit, Instruction: Turn left onto Ron Scott Circuit, Distance: 61.5 meters, Time: 44.3 seconds
Name: Sugarwood Grove, Instruction: Turn right onto Sugarwood Grove, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: Melaleuca Grove, Instruction: Turn right onto Melaleuca Grove, Distance: 53.0 meters, Time: 38.1 seconds
Name: Mahogany Way, Instruction: Turn left onto Mahogany Way, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
