Name: Avenue Odette, Instruction: Head southwest on Avenue Odette, Distance: 5.5 meters, Time: 4.0 seconds
Name: Avenue de la Belle Gabrielle, Instruction: Turn right onto Avenue de la Belle Gabrielle, Distance: 205.5 meters, Time: 148.0 seconds
Name: Villa Hélène, Instruction: Turn right onto Villa Hélène, Distance: 173.5 meters, Time: 124.9 seconds
Name: Avenue des Marronniers, Instruction: Turn left onto Avenue des Marronniers, Distance: 217.2 meters, Time: 156.4 seconds
Name: Avenue du Président Roosevelt, Instruction: Turn sharp right onto Avenue du Président Roosevelt, Distance: 61.9 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight right, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.9 meters, Time: 4.2 seconds
Name: Place Moreau David, Instruction: Turn sharp left onto Place Moreau David, Distance: 17.6 meters, Time: 12.7 seconds
Name: Place Moreau David, Instruction: Keep right onto Place Moreau David, Distance: 38.7 meters, Time: 27.8 seconds
Name: -, Instruction: Arrive at Place Moreau David, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
