Name: Spice Mill Lane, Instruction: Head north on Spice Mill Lane, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Lombard Street, Instruction: Turn right onto Lombard Street, Distance: 234.3 meters, Time: 168.7 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 271.8 meters, Time: 195.7 seconds
Name: Stonecutters Lane, Instruction: Turn left onto Stonecutters Lane, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 252.0 meters, Time: 181.4 seconds
Name: -, Instruction: Turn right, Distance: 103.8 meters, Time: 74.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Sackville Street, Instruction: Turn left onto Sackville Street, Distance: 41.4 meters, Time: 29.8 seconds
Name: Ray Lane, Instruction: Turn right onto Ray Lane, Distance: 115.2 meters, Time: 82.9 seconds
Name: -, Instruction: Turn slight right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight left, Distance: 52.7 meters, Time: 38.0 seconds
Name: Sumach Street, Instruction: Turn left onto Sumach Street, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
