Name: Oskar-Maria-Graf-Ring, Instruction: Head east on Oskar-Maria-Graf-Ring, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 161.5 meters, Time: 116.3 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 195.1 meters, Time: 140.5 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 79.3 meters, Time: 57.1 seconds
Name: Kurt-Eisner-Straße, Instruction: Turn left onto Kurt-Eisner-Straße, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn left, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: Friedrich-Engels-Bogen, Instruction: Turn right onto Friedrich-Engels-Bogen, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
