Name: Union Avenue, Instruction: Head south on Union Avenue, Distance: 15.5 meters, Time: 11.1 seconds
Name: New Way, Instruction: Enter the roundabout and take the 1st exit onto New Way, Distance: 88.9 meters, Time: 64.0 seconds
Name: Green Way, Instruction: Turn left onto Green Way, Distance: 209.7 meters, Time: 151.0 seconds
Name: Green Way, Instruction: Turn right onto Green Way, Distance: 52.0 meters, Time: 37.4 seconds
Name: Green Way, Instruction: Turn left onto Green Way, Distance: 70.6 meters, Time: 50.8 seconds
Name: Morningside Road, Instruction: Turn right onto Morningside Road, Distance: 148.3 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Continue straight, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Forest Drive Service Road, Instruction: Turn left onto Forest Drive Service Road, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
