Name: شارع الشهيدة فريدة داوود, Instruction: Head south on شارع الشهيدة فريدة داوود, Distance: 9.6 meters, Time: 6.9 seconds
Name: شارع محمود مختار, Instruction: Turn right onto شارع محمود مختار, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Keep left, Distance: 183.6 meters, Time: 132.2 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Continue straight onto شارع دكتور صلاح عبد الكريم, Distance: 112.2 meters, Time: 80.7 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Enter the roundabout and take the 4th exit onto شارع دكتور صلاح عبد الكريم, Distance: 149.8 meters, Time: 107.9 seconds
Name: شارع دكتور صلاح عبد الكريم, Instruction: Continue straight onto شارع دكتور صلاح عبد الكريم, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Keep left, Distance: 145.0 meters, Time: 104.4 seconds
Name: طريق السادات الجانبى, Instruction: Turn slight left onto طريق السادات الجانبى, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
