Name: Small Road, Instruction: Head north on Small Road, Distance: 473.8 meters, Time: 341.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Continue straight, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn slight left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 242.3 meters, Time: 174.4 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Keep right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Keep right, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
