Name: Avenida Repórter Nestor Moreira, Instruction: Head northwest on Avenida Repórter Nestor Moreira, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.6 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn right onto Ciclovia Mané Garrincha, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Ciclovia Mané Garrincha, Instruction: Keep right onto Ciclovia Mané Garrincha, Distance: 134.3 meters, Time: 96.7 seconds
Name: Ciclovia Mané Garrincha, Instruction: Keep left onto Ciclovia Mané Garrincha, Distance: 101.6 meters, Time: 73.1 seconds
Name: -, Instruction: Keep left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Lagoa/Botafogo, Instruction: Continue straight onto Lagoa/Botafogo, Distance: 99.8 meters, Time: 71.9 seconds
Name: -, Instruction: Turn slight right, Distance: 64.5 meters, Time: 46.5 seconds
Name: Lagoa/Botafogo, Instruction: Turn right onto Lagoa/Botafogo, Distance: 57.3 meters, Time: 41.2 seconds
Name: Praia de Botafogo, Instruction: Turn left onto Praia de Botafogo, Distance: 7.7 meters, Time: 5.5 seconds
Name: Rua Professor Álvaro Rodrigues, Instruction: Turn right onto Rua Professor Álvaro Rodrigues, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
