Name: Route de Sèvres à Neuilly, Instruction: Head southwest on Route de Sèvres à Neuilly, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 532.7 meters, Time: 383.5 seconds
Name: -, Instruction: Keep right, Distance: 581.5 meters, Time: 418.7 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 153.0 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 30.0 meters, Time: 21.6 seconds
Name: Place de Bagatelle, Instruction: Turn right onto Place de Bagatelle, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
