Name: Germaniastraße, Instruction: Head north on Germaniastraße, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn left, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Turn right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn left, Distance: 226.4 meters, Time: 163.0 seconds
Name: Isoldenstraße, Instruction: Turn right onto Isoldenstraße, Distance: 205.1 meters, Time: 147.7 seconds
Name: Parzivalstraße, Instruction: Turn left onto Parzivalstraße, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 322.7 meters, Time: 232.3 seconds
Name: -, Instruction: Turn left, Distance: 306.6 meters, Time: 220.7 seconds
Name: -, Instruction: Turn left, Distance: 121.2 meters, Time: 87.2 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
