Name: St John's Road, Instruction: Head east on St John's Road, Distance: 810.9 meters, Time: 583.9 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn slight left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Keep right, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 424.5 meters, Time: 305.6 seconds
Name: -, Instruction: Turn left, Distance: 102.9 meters, Time: 74.1 seconds
Name: Medland Street, Instruction: Turn right onto Medland Street, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 125.1 meters, Time: 90.0 seconds
Name: -, Instruction: Turn slight left, Distance: 87.6 meters, Time: 63.0 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Keep left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
