Name: Glenvar Ridge Road, Instruction: Head northeast on Glenvar Ridge Road, Distance: 80.6 meters, Time: 58.0 seconds
Name: Bounty Road, Instruction: Turn right onto Bounty Road, Distance: 390.0 meters, Time: 280.8 seconds
Name: -, Instruction: Turn right, Distance: 171.4 meters, Time: 123.4 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Caldera Drive, Instruction: Turn right onto Caldera Drive, Distance: 304.5 meters, Time: 219.2 seconds
Name: -, Instruction: Turn right, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 309.1 meters, Time: 222.5 seconds
Name: Glenvar Road, Instruction: Turn left onto Glenvar Road, Distance: 78.2 meters, Time: 56.3 seconds
Name: Glenvar Road, Instruction: Continue straight onto Glenvar Road, Distance: 28.1 meters, Time: 20.3 seconds
Name: County Road, Instruction: Enter the roundabout and take the 1st exit onto County Road, Distance: 185.9 meters, Time: 133.9 seconds
Name: Tainui Street, Instruction: Turn right onto Tainui Street, Distance: 298.9 meters, Time: 215.2 seconds
Name: Killarney Avenue, Instruction: Turn left onto Killarney Avenue, Distance: 268.7 meters, Time: 193.5 seconds
Name: Sealy Road, Instruction: Turn right onto Sealy Road, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
