Name: شارع جمال عبد الناصر, Instruction: Head southeast on شارع جمال عبد الناصر, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 319.2 meters, Time: 229.8 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Keep right, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 319.0 meters, Time: 229.7 seconds
Name: شارع انور سلامه, Instruction: Enter the roundabout and take the 3rd exit onto شارع انور سلامه, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Arrive at شارع انور سلامه, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
