Name: Selwyn Road, Instruction: Head west on Selwyn Road, Distance: 85.4 meters, Time: 61.5 seconds
Name: The Drive, Instruction: Turn right onto The Drive, Distance: 402.2 meters, Time: 289.6 seconds
Name: Empire Road, Instruction: Turn right onto Empire Road, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 630.9 meters, Time: 454.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Keep left, Distance: 407.0 meters, Time: 293.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: Saint Andrews Road, Instruction: Turn right onto Saint Andrews Road, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 136.3 meters, Time: 98.1 seconds
Name: Saint Andrews Road, Instruction: Turn right onto Saint Andrews Road, Distance: 26.6 meters, Time: 19.1 seconds
Name: Pencarrow Avenue, Instruction: Turn left onto Pencarrow Avenue, Distance: 132.0 meters, Time: 95.1 seconds
Name: Windmill Road, Instruction: Keep right onto Windmill Road, Distance: 205.6 meters, Time: 148.0 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Hasbury Avenue, Instruction: Turn right onto Hasbury Avenue, Distance: 168.9 meters, Time: 121.6 seconds
Name: Hasbury Avenue, Instruction: Keep left onto Hasbury Avenue, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
