Name: Freya Street, Instruction: Head southwest on Freya Street, Distance: 54.0 meters, Time: 38.9 seconds
Name: Siandra Drive, Instruction: Enter the roundabout and take the 1st exit onto Siandra Drive, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 260.3 meters, Time: 187.4 seconds
Name: Box Road, Instruction: Turn right onto Box Road, Distance: 152.1 meters, Time: 109.5 seconds
Name: Boondah Place, Instruction: Turn right onto Boondah Place, Distance: 136.7 meters, Time: 98.4 seconds
Name: Buderim Avenue, Instruction: Turn left onto Buderim Avenue, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 840.5 meters, Time: 605.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 104.5 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 166.1 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: Mary Street, Instruction: Turn left onto Mary Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Mary Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
