Name: Burgkmairstraße, Instruction: Head south on Burgkmairstraße, Distance: 7.0 meters, Time: 5.0 seconds
Name: Endelhauserstraße, Instruction: Turn left onto Endelhauserstraße, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 174.4 meters, Time: 125.6 seconds
Name: Droste-Hülshoff-Straße, Instruction: Turn left onto Droste-Hülshoff-Straße, Distance: 193.7 meters, Time: 139.5 seconds
Name: Säulingstraße, Instruction: Turn left onto Säulingstraße, Distance: 240.0 meters, Time: 172.8 seconds
Name: Pfrontener Platz, Instruction: Turn right onto Pfrontener Platz, Distance: 72.7 meters, Time: 52.3 seconds
Name: Lermooser Weg, Instruction: Turn left onto Lermooser Weg, Distance: 10.9 meters, Time: 7.8 seconds
Name: Lermooser Weg, Instruction: Turn right onto Lermooser Weg, Distance: 235.8 meters, Time: 169.8 seconds
Name: -, Instruction: Turn left, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 150.2 meters, Time: 108.1 seconds
Name: -, Instruction: Keep right, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn slight left, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Keep right, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Keep right, Distance: 143.4 meters, Time: 103.2 seconds
Name: Heiterwanger Straße, Instruction: Turn left onto Heiterwanger Straße, Distance: 15.0 meters, Time: 10.8 seconds
Name: Fernpaßstraße, Instruction: Turn right onto Fernpaßstraße, Distance: 148.3 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
