Name: Rue Choron, Instruction: Head west on Rue Choron, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 97.2 meters, Time: 70.0 seconds
Name: Passage E/9, Instruction: Turn left onto Passage E/9, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue Claude-Rodier, Instruction: Turn right onto Rue Claude-Rodier, Distance: 18.4 meters, Time: 13.3 seconds
Name: Rue de l'Agent Bailly, Instruction: Turn left onto Rue de l'Agent Bailly, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Milton, Instruction: Turn right onto Rue Milton, Distance: 8.9 meters, Time: 6.4 seconds
Name: Cité Charles Godon, Instruction: Keep left onto Cité Charles Godon, Distance: 110.9 meters, Time: 79.9 seconds
Name: Rue Louise-Émilie de La Tour d'Auvergne, Instruction: Turn left onto Rue Louise-Émilie de La Tour d'Auvergne, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue des Martyrs, Instruction: Turn right onto Rue des Martyrs, Distance: 176.7 meters, Time: 127.3 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Rue des Abbesses, Instruction: Turn left onto Rue des Abbesses, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Ravignan, Instruction: Turn right onto Rue Ravignan, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Durantin, Instruction: Turn left onto Rue Durantin, Distance: 363.1 meters, Time: 261.4 seconds
Name: Rue Tourlaque, Instruction: Turn slight right onto Rue Tourlaque, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: Rue Félix Ziem, Instruction: Turn left onto Rue Félix Ziem, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Arrive at Rue Félix Ziem, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
