Name: Gazania Street, Instruction: Head south on Gazania Street, Distance: 86.7 meters, Time: 62.4 seconds
Name: Dromedaris Street, Instruction: Turn left onto Dromedaris Street, Distance: 21.8 meters, Time: 15.7 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Livingstone Avenue, Instruction: Turn left onto Livingstone Avenue, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn slight right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 59.2 meters, Time: 42.6 seconds
Name: Thor Street, Instruction: Turn slight right onto Thor Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: Avonwood Close, Instruction: Turn right onto Avonwood Close, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn slight left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 94.1 meters, Time: 67.8 seconds
Name: -, Instruction: Turn slight right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Turn slight left, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
