Name: Caledonia Road, Instruction: Head north on Caledonia Road, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 531.5 meters, Time: 382.7 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 577.8 meters, Time: 416.0 seconds
Name: -, Instruction: Turn left, Distance: 462.9 meters, Time: 333.3 seconds
Name: -, Instruction: Keep left, Distance: 225.9 meters, Time: 162.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
