Name: Ang Mo Kio Avenue 6, Instruction: Head northwest on Ang Mo Kio Avenue 6, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Keep right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 305.6 meters, Time: 220.0 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 293.4 meters, Time: 211.2 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn slight left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 278.6 meters, Time: 200.6 seconds
Name: Yio Chu Kang Gardens, Instruction: Turn right onto Yio Chu Kang Gardens, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Yio Chu Kang Gardens, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
