Name: Bruce Ferguson Avenue, Instruction: Head north on Bruce Ferguson Avenue, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 87.3 meters, Time: 62.9 seconds
Name: -, Instruction: Turn slight left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
