Name: Marsiling Industrial Estate Road 3, Instruction: Head west on Marsiling Industrial Estate Road 3, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 128.0 meters, Time: 92.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 310.7 meters, Time: 223.7 seconds
Name: Woodlands (Ave 3) Park Connector, Instruction: Turn left onto Woodlands (Ave 3) Park Connector, Distance: 4.9 meters, Time: 3.5 seconds
Name: Woodlands (Ave 3) Park Connector, Instruction: Turn right onto Woodlands (Ave 3) Park Connector, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Continue straight, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 312.7 meters, Time: 225.2 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
