Name: Richardson Street, Instruction: Head west on Richardson Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn slight right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: Sackville Street, Instruction: Turn left onto Sackville Street, Distance: 750.9 meters, Time: 540.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Station Street, Instruction: Turn left onto Station Street, Distance: 229.8 meters, Time: 165.4 seconds
Name: Granville Street, Instruction: Turn right onto Granville Street, Distance: 111.8 meters, Time: 80.5 seconds
Name: Granville Street, Instruction: Enter the roundabout and take the 2nd exit onto Granville Street, Distance: 249.9 meters, Time: 179.9 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
