Name: Kaki Bukit Avenue 3, Instruction: Head east on Kaki Bukit Avenue 3, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Keep left, Distance: 62.4 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 401.4 meters, Time: 289.0 seconds
Name: -, Instruction: Keep right, Distance: 348.2 meters, Time: 250.7 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 306.7 meters, Time: 220.8 seconds
Name: Bedok Reservoir Road, Instruction: Turn right onto Bedok Reservoir Road, Distance: 59.3 meters, Time: 42.7 seconds
Name: Bedok Reservoir Road, Instruction: Turn left onto Bedok Reservoir Road, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Arrive at Bedok Reservoir Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
