Name: Rue de la Briqueterie, Instruction: Head northwest on Rue de la Briqueterie, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 194.1 meters, Time: 139.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 104.5 meters, Time: 75.3 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Keep right, Distance: 224.3 meters, Time: 161.5 seconds
Name: -, Instruction: Turn left, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn slight right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: Rue de Cronstadt, Instruction: Turn right onto Rue de Cronstadt, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Rue Dombasle, Instruction: Turn right onto Rue Dombasle, Distance: 27.3 meters, Time: 19.7 seconds
Name: Rue de l'Abbé Groult, Instruction: Turn left onto Rue de l'Abbé Groult, Distance: 503.6 meters, Time: 362.6 seconds
Name: Rue Bausset, Instruction: Turn right onto Rue Bausset, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
