Name: Via H, Instruction: Head southwest on Via H, Distance: 412.3 meters, Time: 296.8 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: Rua Professor Santos Moreira, Instruction: Turn right onto Rua Professor Santos Moreira, Distance: 390.0 meters, Time: 280.8 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 573.2 meters, Time: 412.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 237.6 meters, Time: 171.1 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
