Name: Mandai Link, Instruction: Head south on Mandai Link, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: Rail Corridor, Instruction: Turn left onto Rail Corridor, Distance: 378.4 meters, Time: 272.5 seconds
Name: -, Instruction: Turn right, Distance: 606.6 meters, Time: 436.7 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Sungei Kadut Street 1, Instruction: Turn right onto Sungei Kadut Street 1, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 131.5 meters, Time: 94.7 seconds
Name: Sungei Kadut Street 2, Instruction: Turn left onto Sungei Kadut Street 2, Distance: 514.5 meters, Time: 370.4 seconds
Name: -, Instruction: Arrive at Sungei Kadut Street 2, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
