Name: New Upper Changi Road, Instruction: Head east on New Upper Changi Road, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 718.2 meters, Time: 517.1 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight left, Distance: 326.3 meters, Time: 234.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Continue straight, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Continue straight, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
