Name: Calle Universidad, Instruction: Head north on Calle Universidad, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn slight right, Distance: 621.8 meters, Time: 447.7 seconds
Name: Avenida Antonio Díaz Soto y Gama, Instruction: Turn left onto Avenida Antonio Díaz Soto y Gama, Distance: 40.1 meters, Time: 28.8 seconds
Name: Calle Josué Escobedo, Instruction: Turn sharp right onto Calle Josué Escobedo, Distance: 140.0 meters, Time: 100.8 seconds
Name: Calle Josué Escobedo, Instruction: Continue straight onto Calle Josué Escobedo, Distance: 330.0 meters, Time: 237.6 seconds
Name: Calle Albarrada, Instruction: Turn sharp left onto Calle Albarrada, Distance: 30.5 meters, Time: 21.9 seconds
Name: Calle 12, Instruction: Turn right onto Calle 12, Distance: 95.3 meters, Time: 68.6 seconds
Name: Calle Sur 27, Instruction: Turn right onto Calle Sur 27, Distance: 136.2 meters, Time: 98.1 seconds
Name: Calle Golda Meir, Instruction: Turn sharp right onto Calle Golda Meir, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn slight left, Distance: 14.4 meters, Time: 10.4 seconds
Name: Calle Sur 27, Instruction: Turn right onto Calle Sur 27, Distance: 137.9 meters, Time: 99.3 seconds
Name: Avenida Telecomunicaciones, Instruction: Turn right onto Avenida Telecomunicaciones, Distance: 23.4 meters, Time: 16.8 seconds
Name: Calle Sur 29, Instruction: Turn left onto Calle Sur 29, Distance: 577.4 meters, Time: 415.7 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn slight left, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
