Name: شارع الخليفه المطيع, Instruction: Head northeast on شارع الخليفه المطيع, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 118.2 meters, Time: 85.1 seconds
Name: شارع الخليفه الظاهر, Instruction: Turn right onto شارع الخليفه الظاهر, Distance: 95.0 meters, Time: 68.4 seconds
Name: شارع المحكمه, Instruction: Turn left onto شارع المحكمه, Distance: 503.5 meters, Time: 362.5 seconds
Name: محور 79, Instruction: Turn left onto محور 79, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: محور 79, Instruction: Turn left onto محور 79, Distance: 50.6 meters, Time: 36.4 seconds
Name: شارع على بن ابى طالب, Instruction: Keep right onto شارع على بن ابى طالب, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: شارع على بن ابى طالب, Instruction: Turn right onto شارع على بن ابى طالب, Distance: 26.1 meters, Time: 18.8 seconds
Name: شارع ابن قتيبه, Instruction: Turn left onto شارع ابن قتيبه, Distance: 578.2 meters, Time: 416.3 seconds
Name: شارع الطوسى, Instruction: Turn left onto شارع الطوسى, Distance: 74.2 meters, Time: 53.4 seconds
Name: محور 79, Instruction: Turn right onto محور 79, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.1 seconds
Name: محور 79, Instruction: Turn right onto محور 79, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Arrive at محور 79, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
