Name: Rua Retiro dos Artistas, Instruction: Head south on Rua Retiro dos Artistas, Distance: 941.9 meters, Time: 678.2 seconds
Name: Rua Edgard Werneck, Instruction: Turn left onto Rua Edgard Werneck, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Avenida Geremário Dantas, Instruction: Turn right onto Avenida Geremário Dantas, Distance: 168.4 meters, Time: 121.3 seconds
Name: Avenida Geremário Dantas, Instruction: Keep left onto Avenida Geremário Dantas, Distance: 223.2 meters, Time: 160.7 seconds
Name: Ladeira da Freguesia, Instruction: Keep right onto Ladeira da Freguesia, Distance: 392.3 meters, Time: 282.4 seconds
Name: Ladeira da Freguesia, Instruction: Turn slight left onto Ladeira da Freguesia, Distance: 165.1 meters, Time: 118.9 seconds
Name: Estrada do Gabinal, Instruction: Turn left onto Estrada do Gabinal, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Turn right, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
