Name: Rue Marinoni, Instruction: Head southwest on Rue Marinoni, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 104.1 meters, Time: 74.9 seconds
Name: -, Instruction: Turn slight right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Avenue Émile Deschanel, Instruction: Turn left onto Avenue Émile Deschanel, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn right, Distance: 246.4 meters, Time: 177.4 seconds
Name: -, Instruction: Turn slight right, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn slight left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Rue du Laos, Instruction: Turn left onto Rue du Laos, Distance: 119.3 meters, Time: 85.9 seconds
Name: Square Théodore Judlin, Instruction: Turn right onto Square Théodore Judlin, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 165.1 meters, Time: 118.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
