Name: Centenary Square, Instruction: Head north on Centenary Square, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Continue straight, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn slight left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 161.7 meters, Time: 116.5 seconds
Name: -, Instruction: Turn right, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Keep left, Distance: 272.6 meters, Time: 196.2 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn slight left, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
