Name: Mountain Road, Instruction: Head northwest on Mountain Road, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Turn left, Distance: 293.8 meters, Time: 211.5 seconds
Name: -, Instruction: Turn slight left, Distance: 112.2 meters, Time: 80.8 seconds
Name: Puhi Huia Road, Instruction: Enter the roundabout and take the 2nd exit onto Puhi Huia Road, Distance: 127.9 meters, Time: 92.1 seconds
Name: Puhi Huia Road, Instruction: Keep left onto Puhi Huia Road, Distance: 92.4 meters, Time: 66.5 seconds
Name: Hillside Crescent North, Instruction: Keep left onto Hillside Crescent North, Distance: 32.4 meters, Time: 23.3 seconds
Name: Mount Eden Road, Instruction: Turn left onto Mount Eden Road, Distance: 131.8 meters, Time: 94.9 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 232.6 meters, Time: 167.5 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.1 seconds
Name: Lovelock Avenue, Instruction: Turn sharp right onto Lovelock Avenue, Distance: 95.0 meters, Time: 68.4 seconds
Name: Bourne Street, Instruction: Turn left onto Bourne Street, Distance: 89.4 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
