Name: Jiak Chuan Road, Instruction: Head southwest on Jiak Chuan Road, Distance: 76.1 meters, Time: 54.8 seconds
Name: Keong Saik Road, Instruction: Turn left onto Keong Saik Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Keep right, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn slight left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 232.4 meters, Time: 167.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Macalister Road, Instruction: Turn left onto Macalister Road, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
