Name: Logan Avenue, Instruction: Head north on Logan Avenue, Distance: 836.4 meters, Time: 602.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 559.0 meters, Time: 402.4 seconds
Name: -, Instruction: Turn right, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 186.6 meters, Time: 134.4 seconds
Name: -, Instruction: Keep right, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Keep right, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Keep left, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Floyd Avenue, Instruction: Turn left onto Floyd Avenue, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
