Name: Hermann-Löns-Straße, Instruction: Head northwest on Hermann-Löns-Straße, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 267.8 meters, Time: 192.8 seconds
Name: -, Instruction: Turn slight right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn slight left, Distance: 58.8 meters, Time: 42.4 seconds
Name: -, Instruction: Keep left, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 285.8 meters, Time: 205.8 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Putzbrunner Straße, M 22, Instruction: Turn right onto Putzbrunner Straße, M 22, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 378.9 meters, Time: 272.8 seconds
Name: -, Instruction: Turn slight right, Distance: 257.8 meters, Time: 185.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 178.1 meters, Time: 128.2 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.9 seconds
Name: -, Instruction: Turn slight right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 52.2 meters, Time: 37.6 seconds
Name: Isarweg, Instruction: Turn sharp left onto Isarweg, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
