Name: Lilley Close, Instruction: Head northwest on Lilley Close, Distance: 11.1 meters, Time: 8.0 seconds
Name: Hermitage Wall, Instruction: Continue straight onto Hermitage Wall, Distance: 189.7 meters, Time: 136.6 seconds
Name: Wapping High Street, Instruction: Turn sharp right onto Wapping High Street, Distance: 51.5 meters, Time: 37.0 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 241.8 meters, Time: 174.1 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn slight right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Dead Man's Hole, Instruction: Turn right onto Dead Man's Hole, Distance: 27.0 meters, Time: 19.4 seconds
Name: Tower Bridge, Instruction: Turn right onto Tower Bridge, Distance: 315.6 meters, Time: 227.2 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Shad Thames, Instruction: Turn right onto Shad Thames, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Continue straight, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 119.6 meters, Time: 86.1 seconds
Name: Tooley Street, Instruction: Turn left onto Tooley Street, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at Tooley Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
