Name: Rue Joseph de Maistre, Instruction: Head south on Rue Joseph de Maistre, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 162.7 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 223.7 meters, Time: 161.1 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight right, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue Tourlaque, Instruction: Turn left onto Rue Tourlaque, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue Durantin, Instruction: Turn slight left onto Rue Durantin, Distance: 243.9 meters, Time: 175.6 seconds
Name: Rue Garreau, Instruction: Keep left onto Rue Garreau, Distance: 488.7 meters, Time: 351.9 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: Rue de Dunkerque, Instruction: Turn right onto Rue de Dunkerque, Distance: 165.4 meters, Time: 119.1 seconds
Name: Rue Marguerite de Rochechouart, Instruction: Turn right onto Rue Marguerite de Rochechouart, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn left, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
