Name: Hodge Street, Instruction: Head northwest on Hodge Street, Distance: 497.5 meters, Time: 358.2 seconds
Name: Low Street, Instruction: Turn left onto Low Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: Lyle Avenue, Instruction: Turn right onto Lyle Avenue, Distance: 199.9 meters, Time: 143.9 seconds
Name: MacPherson Street, Instruction: Turn left onto MacPherson Street, Distance: 86.4 meters, Time: 62.2 seconds
Name: Donald Street, Instruction: Turn right onto Donald Street, Distance: 173.7 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 747.8 meters, Time: 538.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 282.6 meters, Time: 203.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
