Name: Ladies Mile, Instruction: Head southeast on Ladies Mile, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 92.4 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.5 seconds
Name: Manly Park Avenue, Instruction: Turn left onto Manly Park Avenue, Distance: 17.7 meters, Time: 12.7 seconds
Name: Tulip Close, Instruction: Turn right onto Tulip Close, Distance: 143.7 meters, Time: 103.5 seconds
Name: -, Instruction: Turn right, Distance: 275.6 meters, Time: 198.4 seconds
Name: -, Instruction: Turn slight right, Distance: 149.4 meters, Time: 107.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.0 meters, Time: 10.1 seconds
Name: Brixton Road, Instruction: Turn slight left onto Brixton Road, Distance: 525.1 meters, Time: 378.1 seconds
Name: Browns Walk, Instruction: Turn right onto Browns Walk, Distance: 190.7 meters, Time: 137.3 seconds
Name: Tindalls Bay Road, Instruction: Turn right onto Tindalls Bay Road, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 436.2 meters, Time: 314.1 seconds
Name: -, Instruction: Turn left, Distance: 99.8 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 353.2 meters, Time: 254.3 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
