Name: Petit Lane, Instruction: Head northwest on Petit Lane, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 327.3 meters, Time: 235.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 186.2 meters, Time: 134.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Te Taruna Drive, Instruction: Turn left onto Te Taruna Drive, Distance: 3.9 meters, Time: 2.8 seconds
Name: Dendro Ring Road, Instruction: Enter the roundabout and take the 1st exit onto Dendro Ring Road, Distance: 66.7 meters, Time: 48.0 seconds
Name: Hannah Lane, Instruction: Turn left onto Hannah Lane, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Moyle Street, Instruction: Turn left onto Moyle Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: Spars Road, Instruction: Enter the roundabout and take the 1st exit onto Spars Road, Distance: 233.8 meters, Time: 168.4 seconds
Name: -, Instruction: Arrive at Spars Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
