Name: Brukenthalstraße, Instruction: Head north on Brukenthalstraße, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Riemer Straße, Instruction: Turn right onto Riemer Straße, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Keep left, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 352.1 meters, Time: 253.5 seconds
Name: -, Instruction: Turn right, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Keep left, Distance: 144.2 meters, Time: 103.8 seconds
Name: Ika-Freudenberg-Straße, Instruction: Turn slight left onto Ika-Freudenberg-Straße, Distance: 54.3 meters, Time: 39.1 seconds
Name: Graf-Lehndorff-Straße, Instruction: Turn left onto Graf-Lehndorff-Straße, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 153.7 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 284.5 meters, Time: 204.9 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 343.2 meters, Time: 247.1 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
