Name: Ellington Square, Instruction: Head southwest on Ellington Square, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 204.4 meters, Time: 147.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Keep right, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.4 seconds
Name: Kallang Park Connector, Instruction: Turn left onto Kallang Park Connector, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 103.3 meters, Time: 74.3 seconds
Name: -, Instruction: Keep right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn right, Distance: 182.5 meters, Time: 131.4 seconds
Name: -, Instruction: Keep left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 373.3 meters, Time: 268.8 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
