Name: Quakers Road, Instruction: Head southeast on Quakers Road, Distance: 56.8 meters, Time: 40.9 seconds
Name: Barclay Street, Instruction: Turn left onto Barclay Street, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 509.5 meters, Time: 366.8 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 328.7 meters, Time: 236.6 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Turn right, Distance: 391.2 meters, Time: 281.7 seconds
Name: Breakfast Creek Cycleway, Instruction: Continue straight onto Breakfast Creek Cycleway, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn slight right, Distance: 228.6 meters, Time: 164.6 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Keep right, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Keep right, Distance: 56.5 meters, Time: 40.7 seconds
Name: Richmond Rd Shared Path, Instruction: Turn left onto Richmond Rd Shared Path, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn slight left, Distance: 173.3 meters, Time: 124.7 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
