Name: Mandalay Road, Instruction: Head north on Mandalay Road, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 399.5 meters, Time: 287.6 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 274.3 meters, Time: 197.5 seconds
Name: -, Instruction: Turn left, Distance: 405.9 meters, Time: 292.3 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: Thomson Road, Instruction: Turn right onto Thomson Road, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Keep left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight left, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
