Name: Ingalls Street, Instruction: Head north on Ingalls Street, Distance: 106.4 meters, Time: 76.6 seconds
Name: West 60th Avenue, Instruction: Turn left onto West 60th Avenue, Distance: 306.4 meters, Time: 220.6 seconds
Name: Lamar Street, Instruction: Turn left onto Lamar Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Lamar Street, Instruction: Turn left onto Lamar Street, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 113.9 meters, Time: 82.0 seconds
Name: Lamar Street, Instruction: Turn left onto Lamar Street, Distance: 60.3 meters, Time: 43.4 seconds
Name: Ralston Road, Instruction: Turn right onto Ralston Road, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 180.6 meters, Time: 130.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
