Name: Bruce Ferguson Avenue, Instruction: Head east on Bruce Ferguson Avenue, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 128.8 meters, Time: 92.7 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep left, Distance: 213.5 meters, Time: 153.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 325.5 meters, Time: 234.4 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 405.6 meters, Time: 292.0 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
