Name: Steenoven Street, Instruction: Head northwest on Steenoven Street, Distance: 605.5 meters, Time: 435.9 seconds
Name: Swellengrebel Avenue, Instruction: Turn left onto Swellengrebel Avenue, Distance: 361.8 meters, Time: 260.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Keep left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.3 seconds
Name: De Grendel Avenue, Instruction: Turn right onto De Grendel Avenue, Distance: 71.5 meters, Time: 51.5 seconds
Name: Kaapse Vlak, Instruction: Turn left onto Kaapse Vlak, Distance: 8.7 meters, Time: 6.2 seconds
Name: De Grendel Avenue, Instruction: Turn right onto De Grendel Avenue, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Arrive at De Grendel Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
