Name: Schilcherweg, Instruction: Head northwest on Schilcherweg, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 46.6 meters, Time: 33.6 seconds
Name: Reinekestraße, Instruction: Turn left onto Reinekestraße, Distance: 210.3 meters, Time: 151.4 seconds
Name: Wunderhornstraße, Instruction: Turn left onto Wunderhornstraße, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Continue straight, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Keep left, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 144.1 meters, Time: 103.8 seconds
Name: Bahnhofplatz, Instruction: Continue straight onto Bahnhofplatz, Distance: 130.0 meters, Time: 93.6 seconds
Name: Großhesseloher Straße, Instruction: Turn left onto Großhesseloher Straße, Distance: 6.1 meters, Time: 4.4 seconds
Name: Fritz-Gerlich-Straße, Instruction: Turn right onto Fritz-Gerlich-Straße, Distance: 59.4 meters, Time: 42.8 seconds
Name: Fritz-Gerlich-Straße, Instruction: Keep right onto Fritz-Gerlich-Straße, Distance: 248.7 meters, Time: 179.0 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
