Name: Lumbarda Drive, Instruction: Head west on Lumbarda Drive, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 171.5 meters, Time: 123.5 seconds
Name: Croatia Avenue, Instruction: Turn right onto Croatia Avenue, Distance: 12.4 meters, Time: 8.9 seconds
Name: Schoolside Road, Instruction: Turn left onto Schoolside Road, Distance: 47.6 meters, Time: 34.2 seconds
Name: -, Instruction: Keep right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: Vintry Drive, Instruction: Turn right onto Vintry Drive, Distance: 120.0 meters, Time: 86.4 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
