Name: Bedwin Road, Instruction: Head north on Bedwin Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 609.0 meters, Time: 438.5 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Turn right, Distance: 228.6 meters, Time: 164.6 seconds
Name: MacDonald Street, Instruction: Turn right onto MacDonald Street, Distance: 40.9 meters, Time: 29.5 seconds
Name: Parkers Lane, Instruction: Turn left onto Parkers Lane, Distance: 133.6 meters, Time: 96.2 seconds
Name: Victoria Street, Instruction: Turn right onto Victoria Street, Distance: 24.5 meters, Time: 17.6 seconds
Name: Prospect Street, Instruction: Turn left onto Prospect Street, Distance: 292.1 meters, Time: 210.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: John Street, Instruction: Turn slight left onto John Street, Distance: 180.5 meters, Time: 130.0 seconds
Name: Albert Street, Instruction: Turn right onto Albert Street, Distance: 120.9 meters, Time: 87.0 seconds
Name: Burren Street, Instruction: Turn slight left onto Burren Street, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
